drop,player_id,drop2,valid,event_id,year,tourns0411$tourn_id[[t]]
MM_openBrWindow('ScoreCard.asp?TN=T01,15718,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,10583,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18833,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,17894,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,17406,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18705,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18937,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18874,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,15637,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18834,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18908,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18987,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18949,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,19479,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,19194,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,19342,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18829,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18788,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18806,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,12771,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18903,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18963,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18832,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18895,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,16614,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,15886,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,16288,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,19035,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,15735,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,19322,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,16686,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,17461,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,19314,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,19419,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18988,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,14142,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18938,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,19049,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,19023,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,19111,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,19605,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,19092,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,12661,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,19212,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,14800,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,19036,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,19391,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,15881,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,15570,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,16001,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,18763,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,16229,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,8929,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,19051,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,18420,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,16592,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,19405,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,16004,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,18652,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,14630,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,19474,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,18368,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,15873,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,18073,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,19355,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,17495,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,18771,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,19090,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,16589,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,18993,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,18980,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,19277,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,19319,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,15905,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,15643,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,18792,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,18753,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,19268,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,15884,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,18534,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,15975,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,18511,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,19344,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,18684,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,19145,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,18720,"1','','width=790,height=200')",TRUE,T02,2004,NA
